sample,point,target_x,target_y,target_z,rtt_ms,success,err_norm,joints_j1,joints_j2,joints_j3,joints_j4,joints_j5,joints_j6
121,B,475.0,0.0,635.0,1.306299999669136,,,0.0,0.0,0.0,0.0,0.0,0.0
122,A,475.0,0.0,635.0,1.255999999557389,,,0.0,0.0,0.0,0.0,0.0,0.0
123,B,475.0,0.0,635.0,1.39729999955307,,,0.0,0.0,0.0,0.0,0.0,0.0
124,A,475.0,0.0,635.0,1.2896999996883096,,,0.0,0.0,0.0,0.0,0.0,0.0
125,B,475.0,0.0,635.0,1.2151999999332475,,,0.0,0.0,0.0,0.0,0.0,0.0
126,A,475.0,0.0,635.0,2.555000000029395,,,0.0,0.0,0.0,0.0,0.0,0.0
127,B,475.0,0.0,635.0,2.28030000016588,,,0.0,0.0,0.0,0.0,0.0,0.0
128,A,475.0,0.0,635.0,2.1229000003586407,,,0.0,0.0,0.0,0.0,0.0,0.0
129,B,475.0,0.0,635.0,2.153399999770045,,,0.0,0.0,0.0,0.0,0.0,0.0
130,A,475.0,0.0,635.0,1.4743000001544715,,,0.0,0.0,0.0,0.0,0.0,0.0
131,B,475.0,0.0,635.0,1.6925999998420593,,,0.0,0.0,0.0,0.0,0.0,0.0
132,A,475.0,0.0,635.0,2.5734999999258434,,,0.0,0.0,0.0,0.0,0.0,0.0
133,B,475.0,0.0,635.0,1.7591999994692742,,,0.0,0.0,0.0,0.0,0.0,0.0
134,A,475.0,0.0,635.0,1.7090000001189765,,,0.0,0.0,0.0,0.0,0.0,0.0
135,B,475.0,0.0,635.0,2.016100000219012,,,0.0,0.0,0.0,0.0,0.0,0.0
136,A,475.0,0.0,635.0,1.9304999996165861,,,0.0,0.0,0.0,0.0,0.0,0.0
137,B,475.0,0.0,635.0,1.9364999998288113,,,0.0,0.0,0.0,0.0,0.0,0.0
138,A,475.0,0.0,635.0,2.520600000025297,,,0.0,0.0,0.0,0.0,0.0,0.0
139,B,475.0,0.0,635.0,2.8691999996226514,,,0.0,0.0,0.0,0.0,0.0,0.0
140,A,475.0,0.0,635.0,4.985100000340026,,,0.0,0.0,0.0,0.0,0.0,0.0
141,B,475.0,0.0,635.0,3.468099999736296,,,0.0,0.0,0.0,0.0,0.0,0.0
142,A,475.0,0.0,635.0,2.0009999998364947,,,0.0,0.0,0.0,0.0,0.0,0.0
143,B,475.0,0.0,635.0,1.5244999995047692,,,0.0,0.0,0.0,0.0,0.0,0.0
144,A,475.0,0.0,635.0,1.3794999995297985,,,0.0,0.0,0.0,0.0,0.0,0.0
145,B,475.0,0.0,635.0,1.9412999999985914,,,0.0,0.0,0.0,0.0,0.0,0.0
146,A,475.0,0.0,635.0,2.163900000596186,,,0.0,0.0,0.0,0.0,0.0,0.0
147,B,475.0,0.0,635.0,1.8227999998998712,,,0.0,0.0,0.0,0.0,0.0,0.0
148,A,475.0,0.0,635.0,2.4887999998099986,,,0.0,0.0,0.0,0.0,0.0,0.0
149,B,475.0,0.0,635.0,1.3537000004362199,,,0.0,0.0,0.0,0.0,0.0,0.0
150,A,475.0,0.0,635.0,1.2596999995366787,,,0.0,0.0,0.0,0.0,0.0,0.0
151,B,475.0,0.0,635.0,1.4709999995830003,,,0.0,0.0,0.0,0.0,0.0,0.0
152,A,475.0,0.0,635.0,1.768800000718329,,,0.0,0.0,0.0,0.0,0.0,0.0
153,B,475.0,0.0,635.0,1.2185000005047186,,,0.0,0.0,0.0,0.0,0.0,0.0
154,A,475.0,0.0,635.0,1.3380000000324799,,,0.0,0.0,0.0,0.0,0.0,0.0
155,B,475.0,0.0,635.0,1.432099999874481,,,0.0,0.0,0.0,0.0,0.0,0.0
156,A,475.0,0.0,635.0,1.4568999995390186,,,0.0,0.0,0.0,0.0,0.0,0.0
157,B,475.0,0.0,635.0,1.357099999950151,,,0.0,0.0,0.0,0.0,0.0,0.0
158,A,475.0,0.0,635.0,1.2972999993507983,,,0.0,0.0,0.0,0.0,0.0,0.0
159,B,475.0,0.0,635.0,1.7004999999699066,,,0.0,0.0,0.0,0.0,0.0,0.0
160,A,475.0,0.0,635.0,1.296100000217848,,,0.0,0.0,0.0,0.0,0.0,0.0
161,B,475.0,0.0,635.0,1.2578000005305512,,,0.0,0.0,0.0,0.0,0.0,0.0
162,A,475.0,0.0,635.0,1.2644999997064588,,,0.0,0.0,0.0,0.0,0.0,0.0
163,B,475.0,0.0,635.0,1.5665000000808504,,,0.0,0.0,0.0,0.0,0.0,0.0
164,A,475.0,0.0,635.0,1.285700000153156,,,0.0,0.0,0.0,0.0,0.0,0.0
165,B,475.0,0.0,635.0,1.326100000369479,,,0.0,0.0,0.0,0.0,0.0,0.0
166,A,475.0,0.0,635.0,1.2299999998504063,,,0.0,0.0,0.0,0.0,0.0,0.0
167,B,475.0,0.0,635.0,1.544399999147572,,,0.0,0.0,0.0,0.0,0.0,0.0
168,A,475.0,0.0,635.0,1.2686000000030617,,,0.0,0.0,0.0,0.0,0.0,0.0
169,B,475.0,0.0,635.0,1.291999999921245,,,0.0,0.0,0.0,0.0,0.0,0.0
170,A,475.0,0.0,635.0,1.2451000002329238,,,0.0,0.0,0.0,0.0,0.0,0.0
171,B,475.0,0.0,635.0,1.4051999996809172,,,0.0,0.0,0.0,0.0,0.0,0.0
172,A,475.0,0.0,635.0,1.2808000001314213,,,0.0,0.0,0.0,0.0,0.0,0.0
173,B,475.0,0.0,635.0,1.3151000002835644,,,0.0,0.0,0.0,0.0,0.0,0.0
174,A,475.0,0.0,635.0,1.2617000002137502,,,0.0,0.0,0.0,0.0,0.0,0.0
175,B,475.0,0.0,635.0,1.594199999999546,,,0.0,0.0,0.0,0.0,0.0,0.0
176,A,475.0,0.0,635.0,1.3559999997596606,,,0.0,0.0,0.0,0.0,0.0,0.0
177,B,475.0,0.0,635.0,1.7845000002125744,,,0.0,0.0,0.0,0.0,0.0,0.0
178,A,475.0,0.0,635.0,1.2674999998125713,,,0.0,0.0,0.0,0.0,0.0,0.0
179,B,475.0,0.0,635.0,1.5321999999287073,,,0.0,0.0,0.0,0.0,0.0,0.0
180,A,475.0,0.0,635.0,1.2713000005533104,,,0.0,0.0,0.0,0.0,0.0,0.0
181,B,475.0,0.0,635.0,1.1746000000130152,,,0.0,0.0,0.0,0.0,0.0,0.0
182,A,475.0,0.0,635.0,1.3231000002633664,,,0.0,0.0,0.0,0.0,0.0,0.0
183,B,475.0,0.0,635.0,1.6335000000253785,,,0.0,0.0,0.0,0.0,0.0,0.0
184,A,475.0,0.0,635.0,1.3564999999289284,,,0.0,0.0,0.0,0.0,0.0,0.0
185,B,475.0,0.0,635.0,1.2409000000843662,,,0.0,0.0,0.0,0.0,0.0,0.0
186,A,475.0,0.0,635.0,1.3251000000309432,,,0.0,0.0,0.0,0.0,0.0,0.0
187,B,475.0,0.0,635.0,1.54969999948662,,,0.0,0.0,0.0,0.0,0.0,0.0
188,A,475.0,0.0,635.0,1.3466000000335043,,,0.0,0.0,0.0,0.0,0.0,0.0
189,B,475.0,0.0,635.0,1.2341000001470093,,,0.0,0.0,0.0,0.0,0.0,0.0
190,A,475.0,0.0,635.0,1.7167999994853744,,,0.0,0.0,0.0,0.0,0.0,0.0
191,B,475.0,0.0,635.0,1.3693999999304651,,,0.0,0.0,0.0,0.0,0.0,0.0
192,A,475.0,0.0,635.0,1.2868999992861063,,,0.0,0.0,0.0,0.0,0.0,0.0
193,B,475.0,0.0,635.0,1.177599999209633,,,0.0,0.0,0.0,0.0,0.0,0.0
194,A,475.0,0.0,635.0,1.3889000001654495,,,0.0,0.0,0.0,0.0,0.0,0.0
195,B,475.0,0.0,635.0,1.6347000000678236,,,0.0,0.0,0.0,0.0,0.0,0.0
196,A,475.0,0.0,635.0,1.320299999861163,,,0.0,0.0,0.0,0.0,0.0,0.0
197,B,475.0,0.0,635.0,1.2441999997463427,,,0.0,0.0,0.0,0.0,0.0,0.0
198,A,475.0,0.0,635.0,1.4113999995970516,,,0.0,0.0,0.0,0.0,0.0,0.0
199,B,475.0,0.0,635.0,1.841999999669497,,,0.0,0.0,0.0,0.0,0.0,0.0
200,A,475.0,0.0,635.0,1.3557000002037967,,,0.0,0.0,0.0,0.0,0.0,0.0
201,B,475.0,0.0,635.0,1.2358000003587222,,,0.0,0.0,0.0,0.0,0.0,0.0
202,A,475.0,0.0,635.0,1.3982999998916057,,,0.0,0.0,0.0,0.0,0.0,0.0
203,B,475.0,0.0,635.0,1.4264000001276145,,,0.0,0.0,0.0,0.0,0.0,0.0
204,A,475.0,0.0,635.0,1.3035999991188874,,,0.0,0.0,0.0,0.0,0.0,0.0
205,B,475.0,0.0,635.0,1.2924000002385583,,,0.0,0.0,0.0,0.0,0.0,0.0
206,A,475.0,0.0,635.0,1.3903000008212985,,,0.0,0.0,0.0,0.0,0.0,0.0
207,B,475.0,0.0,635.0,1.486299999669427,,,0.0,0.0,0.0,0.0,0.0,0.0
208,A,475.0,0.0,635.0,1.3709000004382688,,,0.0,0.0,0.0,0.0,0.0,0.0
209,B,475.0,0.0,635.0,1.2923000003866036,,,0.0,0.0,0.0,0.0,0.0,0.0
210,A,475.0,0.0,635.0,1.416800000697549,,,0.0,0.0,0.0,0.0,0.0,0.0
211,B,475.0,0.0,635.0,1.4984999997977866,,,0.0,0.0,0.0,0.0,0.0,0.0
212,A,475.0,0.0,635.0,1.2783000001945766,,,0.0,0.0,0.0,0.0,0.0,0.0
213,B,475.0,0.0,635.0,1.2520000000222353,,,0.0,0.0,0.0,0.0,0.0,0.0
214,A,475.0,0.0,635.0,1.3956000002508517,,,0.0,0.0,0.0,0.0,0.0,0.0
215,B,475.0,0.0,635.0,1.4133000004221685,,,0.0,0.0,0.0,0.0,0.0,0.0
216,A,475.0,0.0,635.0,1.2821999998777756,,,0.0,0.0,0.0,0.0,0.0,0.0
217,B,475.0,0.0,635.0,1.224799999363313,,,0.0,0.0,0.0,0.0,0.0,0.0
218,A,475.0,0.0,635.0,1.421499999196385,,,0.0,0.0,0.0,0.0,0.0,0.0
219,B,475.0,0.0,635.0,1.4446000004681991,,,0.0,0.0,0.0,0.0,0.0,0.0
220,A,475.0,0.0,635.0,1.261500000509841,,,0.0,0.0,0.0,0.0,0.0,0.0
221,B,475.0,0.0,635.0,1.2636000001293723,,,0.0,0.0,0.0,0.0,0.0,0.0
222,A,475.0,0.0,635.0,1.4339999997901032,,,0.0,0.0,0.0,0.0,0.0,0.0
223,B,475.0,0.0,635.0,1.4229999997041887,,,0.0,0.0,0.0,0.0,0.0,0.0
224,A,475.0,0.0,635.0,1.2865999997302424,,,0.0,0.0,0.0,0.0,0.0,0.0
225,B,475.0,0.0,635.0,1.2412000005497248,,,0.0,0.0,0.0,0.0,0.0,0.0
226,A,475.0,0.0,635.0,1.5412999991895049,,,0.0,0.0,0.0,0.0,0.0,0.0
227,B,475.0,0.0,635.0,1.6567000002396526,,,0.0,0.0,0.0,0.0,0.0,0.0
228,A,475.0,0.0,635.0,1.3134999999238062,,,0.0,0.0,0.0,0.0,0.0,0.0
229,B,475.0,0.0,635.0,1.2625000008483767,,,0.0,0.0,0.0,0.0,0.0,0.0
230,A,475.0,0.0,635.0,1.4019999998708954,,,0.0,0.0,0.0,0.0,0.0,0.0
231,B,475.0,0.0,635.0,1.823500000682543,,,0.0,0.0,0.0,0.0,0.0,0.0
